Species,Total,Positive,Percentage,MSW05_Family,MSW05_Genus,8-1_AdultForearmLen_mm,12-1_HabitatBreadth,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,BodyMass-Value,BodyMass-SpecLevel
Anoura geoffroyi,101,4,0.0396039603960396,Phyllostomidae,Anoura,42.66,1.0,8631465.89,25.97,-25.46,0.25,-34.79,-108.83,-71.81,0.0,44.96,0.0,0.1,128.98,221.14,1191.28,1510.91,30.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,ABC,Ar,A,1.0,0.0,14.62,1.0
Artibeus fimbriatus,3,0,0.0,Phyllostomidae,Artibeus,48.915000000000006,1.0,1195211.14,-18.73,-28.22,-23.48,-41.76,-59.24,-50.5,0.0,75.59,1.0,0.07,125.63,208.92,1233.51,1315.75,10.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,63.9,1.0
Artibeus jamaicensis,462,8,0.017316017316017316,Phyllostomidae,Artibeus,60.34,1.0,14327574.52,26.12,-25.53,0.29,-34.79,-108.79,-71.79,0.0,33.02,0.0,0.11,147.19,237.53,1278.5,1531.97,10.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,42.17,1.0
Artibeus lituratus,304,9,0.02960526315789473,Phyllostomidae,Artibeus,70.33,1.0,14275189.62,22.11,-29.57,-3.73,-34.79,-98.34,-66.56,0.0,27.78,0.0,0.11,148.64,235.91,1281.41,1521.14,10.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,60.54,1.0
Artibeus obscurus,3,0,0.0,Phyllostomidae,Artibeus,48.915000000000006,1.0,11220757.02,8.79,-26.5,-8.85,-34.79,-78.17,-56.48,0.0,19.72,0.0,0.11,154.26,240.14,1302.96,1531.52,10.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,35.2,1.0
Artibeus phaeotis,43,3,0.06976744186046513,Phyllostomidae,Artibeus,38.55,1.0,1156701.32,24.53,-2.73,10.89,-75.6,-107.37,-91.49,1.0,51.66,3.0,0.13,162.28,228.79,1246.06,1593.77,10.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,11.59,1.0
Artibeus watsoni,21,0,0.0,Phyllostomidae,Artibeus,48.915000000000006,1.0,415964.09,19.12,7.2,13.16,-77.19,-95.55,-86.37,2.0,36.81,3.0,0.15,185.4,242.27,1374.71,1643.46,10.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,D1,Ar,A,1.0,0.0,11.2,1.0
Aselliscus stoliczkanus,73,0,0.0,Hipposideridae,Aselliscus,41.49,1.0,1399537.9,28.75,2.08,15.42,114.6,96.12,105.36,5.0,167.6,12.0,0.08,139.23,195.97,1102.58,1327.28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,4.9,1.0
Balantiopteryx plicata,8,0,0.0,Emballonuridae,Balantiopteryx,42.23,1.0,841946.43,27.13,9.36,18.24,-71.82,-110.03,-90.93,3.0,88.19,8.0,0.09,106.96,216.78,1061.85,1571.82,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,6.39,1.0
Barbastella barbastellus,65,0,0.0,Vespertilionidae,Barbastella,38.49,1.0,3884782.92,60.57,27.99,44.28,49.43,-17.33,16.05,3.0,129.06,16.0,0.00949,57.71,84.24,498.71,630.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,8.03,1.0
Barbastella leucomelas,103,0,0.0,Vespertilionidae,Barbastella,41.49,1.0,3609915.54,45.52,15.46,30.49,145.82,33.91,89.86,0.0,143.24,1.0,0.08,84.55,82.03,630.25,997.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,15.05,1.0
Bauerus dubiaquercus,18,0,0.0,Vespertilionidae,Bauerus,53.29,1.0,295020.71,21.5,11.17,16.34,-83.15,-106.52,-94.83,2.0,31.58,3.0,0.18,171.52,241.32,1396.07,1619.64,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,22.22,1.0
Cardioderma cor,13,1,0.07692307692307693,Megadermatidae,Cardioderma,54.0,1.0,2892359.62,18.0,-10.53,3.73,51.41,31.39,41.4,0.0,39.85,2.0,0.11,55.07,232.39,704.56,1613.35,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,G,A,1.0,0.0,27.84,1.0
Carollia brevicauda,107,6,0.05607476635514018,Phyllostomidae,Carollia,40.26,1.0,11615943.22,23.25,-23.05,0.09,-34.79,-100.12,-67.45,0.0,25.68,0.0,0.12,155.22,240.49,1310.39,1560.88,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,14.4,1.0
Carollia castanea,45,0,0.0,Phyllostomidae,Carollia,36.2,1.0,4881458.89,16.02,-18.71,-1.34,-51.64,-88.14,-69.89,0.0,24.23,0.0,0.12,171.15,236.15,1395.44,1587.12,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,13.27,1.0
Carollia perspicillata,546,27,0.04945054945054945,Phyllostomidae,Carollia,42.45,1.0,14098730.57,21.62,-29.91,-4.14,-34.79,-98.21,-66.5,0.0,26.25,0.0,0.11,149.5,236.85,1288.14,1519.79,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,18.0,1.0
Carollia sowelli,72,7,0.09722222222222222,Phyllostomidae,Carollia,39.834999999999994,1.0,4881458.89,18.12,-18.71,0.09,-51.64,-94.01,-69.89,0.0,26.25,0.0,0.11,149.5,236.15,1395.44,1560.88,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,D1,Ar,A,1.0,0.0,16.5,1.0
Centurio senex,4,0,0.0,Phyllostomidae,Centurio,44.0,1.0,2107462.67,26.26,5.05,15.65,-60.78,-108.71,-84.74,0.0,58.61,3.0,0.12,126.65,232.97,1224.39,1627.36,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,21.22,1.0
Chaerephon plicatus,32,4,0.125,Molossidae,Chaerephon,46.39,1.0,4893584.82,31.02,-8.96,11.03,126.6,71.16,98.88,1.0,244.83,9.0,0.1,155.19,250.06,1101.45,1563.04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,21.83,1.0
Chaerephon pumilus,15,2,0.13333333333333333,Molossidae,Chaerephon,38.99,1.0,14309050.1,17.23,-34.83,-8.8,50.26,-17.53,16.36,0.0,36.24,1.0,0.14,96.01,238.79,958.76,1545.68,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,10.98,1.0
Chalinolobus gouldii,66,2,0.030303030303030307,Vespertilionidae,Chalinolobus,43.87,1.0,7346335.67,-11.11,-43.64,-27.37,168.09,113.14,140.61,0.0,3.44,0.0,0.03,36.09,208.38,434.79,1334.78,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,14.47,1.0
Chalinolobus morio,59,4,0.06779661016949153,Vespertilionidae,Chalinolobus,37.0,1.0,2259579.36,-19.7,-43.64,-31.67,153.63,114.14,133.89,0.0,9.06,0.0,0.04,40.72,172.07,455.18,1179.23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,8.77,1.0
Choeroniscus godmani,6,0,0.0,Phyllostomidae,Choeroniscus,34.0,1.0,2763301.06,25.05,0.91,12.98,-51.64,-108.21,-79.92,0.0,42.76,0.0,0.11,148.03,238.66,1362.84,1661.72,30.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,ABC,Ar,A,1.0,0.0,7.9,1.0
Chrotopterus auritus,3,0,0.0,Phyllostomidae,Chrotopterus,82.56,1.0,9155053.99,21.62,-31.49,-4.93,-38.87,-96.54,-67.71,0.0,26.42,0.0,0.12,145.4,233.69,1299.96,1511.66,30.0,0.0,20.0,20.0,30.0,0.0,0.0,0.0,ABC,S,B,1.0,0.0,77.86,1.0
Coelops frithii,8,0,0.0,Hipposideridae,Coelops,41.0,1.0,4074334.86,31.29,-8.84,11.22,120.82,87.2,104.01,1.0,232.38,12.0,0.08,155.98,201.43,1147.81,1359.69,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,S,B,1.0,0.0,7.52,1.0
Coleura afra,211,0,0.0,Emballonuridae,Coleura,48.0,1.0,5013413.14,21.09,-17.54,1.77,51.41,-13.83,18.78,0.0,40.72,1.0,0.1,77.86,239.85,881.64,1614.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,10.67,1.0
