Species,Total,Positive,Percentage,MSW05_Family,MSW05_Genus,8-1_AdultForearmLen_mm,12-1_HabitatBreadth,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,BodyMass-Value,BodyMass-SpecLevel,No_VF,RNA,DNA,Retro,Zoo,PhyloClust56,PhyloClust41,label,log_27-2_HuPopDen_Mean_n/km2,28-2_Temp_Mean_01degC_2,cluster_location,cluster_weather,gdp,poultry,livestock_mam,earth1_trees_needl,earth10_snowice,earth11_barren,earth12_water,earth2_trees_everg,earth3_trees_decid,earth4_trees_other,earth5_shrubs,earth6_veg_herba,earth7_veg_manag,earth8_veg_flood,earth9_urban,gens,mamdiv,pubs_fit,crop,past,pop,crop_change,past_change,pop_change,c,c2,cluster_weather_DBSCAN
Miniopterus inflatus,12,7,0.583333333,Vespertilionidae,Miniopterus,48.09,1,2563885.05,9.38,-20.75,-5.68,39.26,9.37,24.32,0,48.07,3.0,0.15,84.1,218.37,943.84,1492.35,100,0,0,0,0,0,0,0,ABC,A,A,1,0,14.2,1,3,3,0,0,1,PC1,PC6,1,3.872658281905869,47685.45690000001,Africa,1,1761.6115468327366,291460.66072856373,224229.4421388601,0.08527341175695273,0.00013015684723869774,1.5279465697904304,4.707324041122977,23.78593811783313,9.566995518650328,29.737833877026468,9.836173718202186,5.126449436536186,14.943409203242386,0.5904394853038089,0.05712188612099649,105.09984018619228,127.4638196915777,2.2227180560262543,0.06331521115065236,0.2566675610913405,309949.2176106538,0.0022514424673784113,0.003345941874258597,75523.24263342348,#FF0000,2,0
Ptenochirus jagori,83,27,0.325301205,Pteropodidae,Ptenochirus,84.34,1,248720.14,19.0,5.01,12.0,126.6,119.73,123.16,19,235.4,32.0,0.09,199.19,241.88,1471.18,1731.81,0,0,0,0,100,0,0,0,ABC,Ar,A,1,0,77.25,1,2,1,1,0,1,PC7,PC42,1,5.461286194826176,58505.9344,Asia,1,2586.970720000002,1802663.0327615428,316617.8558168715,0.02079960317460317,0.00029960317460317465,0.024199404761904773,67.23549900793648,10.630326388888882,0.06699007936507928,0.8194642857142859,0.3797896825396823,0.019508928571428583,20.066332341269845,0.4936716269841271,0.2463482142857142,114.23527354713042,49.8,4.404412577201772,0.2931201857142858,0.003312328571428572,1094543.2652788572,-0.0059322714285714295,0.0005300857142857141,214910.6911341429,#FF0000,3,0
Rhinopoma hardwickii,299,93,0.311036789,Rhinopomatidae,Rhinopoma,59.5,1,16925604.79,36.49,0.69,18.59,99.73,-12.83,43.44,0,82.34,0.0,0.1,31.77,241.26,327.0,1374.32,100,0,0,0,0,0,0,0,ABC,A,A,1,0,13.1,1,1,1,0,0,1,PC6,PC35,1,4.410857016341759,58206.3876,Asia,0,4769.043827177811,812233.1436517301,458496.6265375689,0.2523015444407518,0.4673148609726378,45.41519231656887,8.931414298770349,4.591304235441835,1.6095035033787553,7.110781982755438,6.3607390559802175,7.067448926369034,17.83473897751189,0.17441746519700174,0.18946570012185693,104.417371606699,55.64739115985378,4.414227723926497,0.13169383449651034,0.1719809764041211,701964.6511354999,0.004819057494184111,-0.00030786174808906735,134545.26246728512,#FF0000,5,-1
Myotis occultus,17,5,0.294117647,Vespertilionidae,Myotis,38.155,1,737413.1,28.57,17.36,23.68,50.48,4.1,31.91,1,74.39,4.0,0.08,94.68,155.23,836.19,1161.64,100,0,0,0,0,0,0,0,D1,A,A,1,0,8.79,1,3,2,1,0,0,PC1,PC4,1,4.309321524203249,24096.3529,Europe,0,9006.38822133091,264618.96567727736,30832.015135656206,0.00014646231258985424,5.4297597042513876e-05,94.56993620353252,4.069667411172723,0.0015824604641610173,0.0015451067981104975,0.01647116964469092,0.6258859622098996,0.3955060073937153,0.2537401160402548,0.0021273618812897924,0.06415087800369687,110.46612729230196,18.78373382624769,2.1300002252386983,0.004535029574861367,0.03649920332717189,74862.5955232846,0.0004780979667282808,0.0008438114602587801,15646.242661844732,#FF0000,2,1
Pipistrellus kuhlii,494,138,0.279352227,Vespertilionidae,Pipistrellus,34.69,1,4765557.66,47.99,12.59,30.29,73.78,-9.49,32.14,0,92.46,3.0,0.08,37.09,146.68,354.8,1080.06,100,0,0,0,0,0,0,0,ABC,A,A,1,0,5.93,1,6,5,1,0,3,PC1,PC1,1,4.526776118560079,21515.0224,Europe,0,8832.671851435147,907420.583932664,316011.5278954434,0.6207030942057571,0.3269890345114527,55.25144593351728,12.052635795778045,0.03381197170761616,1.6105416502430714,2.306805528182896,5.357832139885262,7.358058566548415,14.648504959926429,0.06387922633907052,0.3724748171506154,92.4359321189373,38.35632636972802,8.008935529537602,0.12632438155301529,0.21028861056365805,372002.1906130759,-0.0016446775719353552,0.002944009459992116,54228.614878415116,#FF0000,2,2
Rhinolophus monoceros,203,56,0.275862069,Rhinolophidae,Rhinolophus,36.5,1,22395.6,25.19,21.99,23.59,121.74,120.44,121.09,70,698.42,70.0,0.03,160.5,165.8,1074.48,1490.58,100,0,0,0,0,0,0,0,ABC,A,B,1,0,10.62,0,3,2,0,1,1,PC5,PC25,1,6.548820640999671,27489.640000000007,Asia,1,,3646092.458333334,397045.9791973333,0.6297569444444452,0.0008333333333333327,0.1554745370370371,50.1920486111111,23.528090277777785,0.03858796296296296,6.73158564814814,2.4308217592592603,0.5159722222222215,13.468252314814803,0.5605324074074074,1.7309143518518515,89.41723457600911,63.16666666666666,5.0479993603540265,0.13135899999999998,0.06457483333333335,1960238.534464,0.0,-0.0004076666666666669,267183.1542473333,#FF0000,0,1
Cynomops abrasus,11,3,0.272727273,Molossidae,Cynomops,43.5,1,10368632.82,9.58,-29.9,-10.15,-34.79,-79.05,-56.92,0,10.2,0.0,0.12,151.62,243.36,1293.46,1511.7,100,0,0,0,0,0,0,0,ABC,A,A,1,0,35.39,1,1,1,0,0,1,PC1,PC7,1,2.322387720290225,59224.08960000001,America,1,7336.275273556572,1007714.1368100144,262561.1086593221,0.014469595456865762,0.03990604262378769,4.3321168857410255,6.251739248340987,43.54357591032837,3.730801110260337,12.287825208439688,6.861325453037258,4.440289901310191,17.287235515569186,1.0336283392887549,0.18965548962055484,105.18130597784322,146.8698315467075,3.630850191728745,0.04997380398162326,0.20638740964777932,201555.57935895273,0.001158250382848392,-0.002131305513016852,30817.96661038593,#FF0000,2,0
Scotophilus kuhlii,189,51,0.26984127,Vespertilionidae,Scotophilus,51.4,1,5078174.595,12.595,-23.285,-7.835,51.41,-12.07,17.11,0,38.52,1.0,0.12,110.585,234.55,1062.18,1546.63,100,0,0,0,0,0,0,0,ABC,A,A,1,0,20.73,1,7,4,3,0,4,PC1,PC3,1,3.6511775869299252,55013.70250000001,Africa,1,1663.7013285554676,390618.5346729602,317034.5004757944,0.05966635190431225,0.00013170837267862762,3.6358913184608137,8.175817054217802,16.087271895656258,7.226319149354741,25.60313886921623,12.026377724661634,6.651298837346548,19.979508577274128,0.4585391092225367,0.0776175440667296,108.81125198482135,110.94546742209631,3.024683391103435,0.089772295325779,0.2920198810198304,385112.5975010988,0.006458108356940511,-0.0003184936260623268,91898.99313778334,#FF0000,2,0
Tadarida brasiliensis,12,3,0.25,Molossidae,Tadarida,42.26,1,13978029.11,44.2,-41.72,1.23,-37.67,-124.55,-81.11,0,45.59,0.0,0.08,81.68,169.87,834.71,1242.13,100,0,0,0,0,0,0,0,ABC,A,A,1,0,12.49,1,5,3,2,0,3,PC1,PC7,1,3.8196883942253503,28855.8169,America,0,16509.09586589112,1459613.6218853826,254908.05005724105,2.5772288036438096,0.02980033742844009,3.288594970958156,14.421363999623914,23.437706165642858,4.500903247879323,11.120781517696702,11.555050039697466,8.503641380427053,19.388208991475512,0.7101289122894997,0.4747264009025948,93.01390222888668,104.31139526137646,19.436364932752873,0.12145828055660013,0.24214738773975106,291719.49314255966,0.0012393098909364445,-0.003937922151184656,40719.730958113294,#FF0000,2,1
Myotis fimbriatus,26,6,0.23076923100000002,Vespertilionidae,Myotis,38.155,1,100728.99,26.8,22.25,24.53,118.38,113.73,116.06,83,366.57,109.0,0.07,114.1,172.79,1135.7,1187.92,100,0,0,0,0,0,0,0,D1,A,A,1,0,7.74,0,0,0,0,0,0,PC1,PC4,1,5.9041894989965416,29856.3841,Asia,1,2664.206059999999,8602452.907894736,938447.1085780526,14.650025584795316,0.0009466374269005847,0.059272660818713525,17.804433479532168,16.744385964912293,0.9591410818713452,21.2106432748538,4.116169590643275,0.6736147660818718,21.77311038011695,0.6837646198830412,1.337375730994152,91.09339180282892,74.94736842105263,28.160590781204508,0.1619004736842105,0.06225378947368423,4640211.8684210535,-0.047363421052631575,-0.00039694736842105054,1001937.5855263156,#FF0000,2,1
Pipistrellus nathusii,144,32,0.222222222,Vespertilionidae,Pipistrellus,34.03,1,5149391.84,59.21,36.38,47.8,50.37,-10.47,19.94,2,116.56,10.0,0.00963,55.32,75.68,472.93,577.74,100,0,0,0,0,0,0,0,ABC,A,A,1,0,7.31,1,3,2,1,0,2,PC1,PC1,1,4.758406161886949,5727.462400000001,Europe,0,16081.948508886146,1806230.299555891,475389.46053255367,3.3999215556484548,0.031147691378669632,5.710670638238567,21.11736668524712,0.03019195930880715,6.323805102657013,10.523088535860287,2.750356454384989,6.140863178186564,42.54862847222228,0.24424859485321426,1.1788430764585656,57.95110099796644,54.08612040133779,31.010816744692157,0.33127179682274216,0.1840071488294315,639140.6367109952,-0.015171133779264219,-0.0019748026755852847,16956.090821101167,#FF0000,2,2
Myotis dasycneme,172,38,0.220930233,Vespertilionidae,Myotis,45.5,1,6606862.4,65.1,44.57,54.84,125.67,4.1,64.89,0,56.05,1.0,0.00518,43.12,28.93,387.58,427.69,100,0,0,0,0,0,0,0,ABC,A,A,1,0,14.13,1,3,3,0,0,2,PC1,PC4,1,4.02624414951817,836.9449,Europe,0,10319.949376987614,490322.62871464744,136004.49111805332,17.29028928439263,0.04107936673142749,10.22023363053937,6.197913197335545,0.0010255342769913962,4.023917481959481,22.544844573966195,2.8699690073087245,9.590836137709312,24.326219354241857,2.4441216810065667,0.450554023267647,41.94655823664302,47.716902581182346,9.206612424655884,0.15206995420482936,0.1969492660283096,202047.96341776696,-0.011457508742714412,0.0013531965029142388,412.5316897864278,#FF0000,2,2
Pipistrellus abramus,486,107,0.22016460899999998,Vespertilionidae,Pipistrellus,33.91,1,2948954.07,44.37,15.45,29.91,142.07,102.33,122.2,2,354.96,33.0,0.05,102.44,141.83,926.69,1022.92,100,0,0,0,0,0,0,0,D1,A,A,1,0,5.87,1,4,3,1,0,1,PC1,PC1,1,5.872005107070653,20115.7489,Asia,0,6998.782461177396,6958107.13361499,1119526.1016965874,3.7445087185725927,0.10001956609894556,7.540999087591258,22.651186232765607,4.450978203568536,2.5423856447688578,13.612200628548242,3.65501571370641,7.214685421735599,33.218167984590465,0.24388777372262802,0.9962226277372256,72.99328958172141,62.55182481751825,20.037265953130923,0.2274259459854012,0.1869476598540145,2108210.832295253,-0.011010935766423363,-0.00048536058394160525,198540.52653793435,#FF0000,2,1
Rousettus amplexicaudatus,10,2,0.2,Pteropodidae,Rousettus,76.88,1,2568005.12,19.57,-10.94,4.31,162.39,95.18,128.79,0,122.06,4.0,0.12,228.98,242.36,1589.95,1732.99,0,0,0,0,60,40,0,0,ABC,Ar,A,1,0,82.47,1,4,4,0,0,1,PC7,PC41,1,4.804512727116348,58738.36960000001,Asia,1,3526.582034252306,1936359.249510652,133570.23146292663,0.05991646291768527,0.00040529068187992415,0.0951044213528932,56.93339870279814,21.74400757267047,0.5928827085031241,1.8513675801412668,1.5206320463189344,0.1765925529747352,16.311995551480596,0.549340617359414,0.16545436022819876,113.75881732748483,75.78973105134475,3.5824996645661136,0.21273479828850853,0.015659386308068464,581499.6199039853,0.008107643031784842,-0.0006264645476772622,88899.79951792544,#FF0000,3,-1
